,Text,Location,Org,Person
10,"Já fiz outras denúncias e nada até agora foi feito. Na minha Rua meu vizinho de nome Ruan, que já foi preso, está vendendo drogas na casa dele, há um constante movimento de carros e de pessoas estranhas entrando e saindo da casa dele, o movimento aumenta na madrugada. Ele dá varias festas com funks proibidos. Endereço: Rua Julio Salusse, número 121, praça cruzeiro, Rio Bonito, rua asfaltada atrás da quadra do cruzeiro. é um sobrado de 3 andares. Ainda no tijolo. O pai do Ruan faz gatos, coloca instalações e fios ilegais. Inclusive policiais militares ja foram acionados, entraram e saíram da casa do Ruan e nada aconteceu.","Locais no texto:

- Rua Julio Salusse, número 121, praça cruzeiro, Rio Bonito
- Quadra do cruzeiro
- Sobrado de 3 andares
- Tijolo
- Casa do Ruan","As organizações mencionadas no texto são:

1) Policiais militares: Foram acionados e entraram na casa, mas não tomaram nenhuma ação.

Não são mencionadas outras organizações específicas no texto.","1. Autor da denúncia (não mencionado explicitamente no texto)
2. Vizinho chamado Ruan (preso anteriormente)
3. Pessoas estranhas que entram e saem da casa de Ruan
4. O pai de Ruan (realiza instalações e fios ilegais)
5. Policiais militares que foram acionados e entraram na casa de Ruan."
11,"Bom dia, gostaria de denunciar milicianos agindo livremente na comunidade águia de ouro em Inhaúma,peço que por favor investiguem pois a luz do dia eles ficam escondidos,mas ao cair da noite esse grupo de vagabundo fica em vários pontos dá comunidade, inclusive na passarela que passa em cima dá linha do trem!Estou enviando a foto de um miliciano de fuzil em frente a associação da comunidade do guarda,ele está fazendo a segurança do marquinho Catiri que está dentro da associação do guarda...Estou enviando também a foto de uma mulher que faz parte da milicia,mas atua cobrando uma parte da comunidade,mas existem outras três mulheres que também fazem essa função.","- Comunidade Águia de Ouro em Inhaúma
- Passarela que passa em cima da linha do trem
- Associação da comunidade do guarda
- Marquinho Catiri
- Mulher que faz parte da milícia","Neste texto, é mencionada a existência de milicianos agindo livremente na comunidade Águia de Ouro em Inhaúma. A única organização específica citada é a associação da comunidade do guarda, onde se encontra o miliciano responsável pela segurança de Marquinho Catiri. Além disso, é mencionado um grupo de mulheres que também fazem parte da milícia e atuam cobrando uma parte da comunidade.",Não é possível identificar as pessoas mencionadas no texto com base nas informações fornecidas.
12,Transporta drogas como mototaxi ,Não é possível identificar os locais específicos mencionados no texto com base na informação fornecida.,"Não foi fornecido um texto específico. No entanto, supondo que o texto mencione uma organização envolvida no transporte de drogas usando mototáxi, é importante ressaltar que tais organizações são geralmente ilegais e operam no mercado ilegal de drogas. Essas organizações podem variar dependendo do contexto e da região, sendo chamadas de diferentes nomes, como cartéis de drogas, gangues, quadrilhas ou organizações criminosas. No entanto, vale ressaltar que a identificação de organizações específicas não pode ser determinada sem mais informações sobre o texto em questão.","Não é possível identificar pessoas específicas com base na informação fornecida. O texto menciona uma pessoa envolvida no transporte de drogas, mas não fornece detalhes ou nomes específicos."
13,Transportando via mototaxi ,"Não há informações suficientes para identificar locais específicos no texto ""Transportando via mototaxi"".",Não foi fornecido um texto específico para que eu possa identificar as organizações nele mencionadas. Poderia fornecer mais informações ou um contexto específico?,"Não é possível identificar as pessoas no texto ""Transportando via mototáxi"" sem mais informações."
14,"Rua 4 jardim bela floresta Magé RJ , rua sem saída , portão preto de garagem , são duas casas , a casa de baixo está tendo Tráfico de drogas e armas ... Larissa o nome dela ..","Locais identificados no texto:
- Rua 4, Jardim Bela Floresta, Magé, RJ
- Rua sem saída
- Portão preto de garagem","Não é possível identificar organizações específicas no texto fornecido, apenas a localização e a menção a uma pessoa chamada Larissa.","No texto mencionado, são identificadas três pessoas: 
1. Larissa (referida como ""o nome dela"") 
2. Os envolvidos com o tráfico de drogas e armas na casa de baixo (pessoas não especificadas)"
15,"TODOS OS DIAS, DEPOIS DAS 23h OCORREM ASSALTOS AOS MORADORES. SAO TRÁS CARAS ARMADOS COM PISTOLAS QUE FICAM EM FRENTE PONTE DA AMIZADE ASSALTANDO. NOS MORADORES NAO AGUENTAMOS MAIS PEÇO A AJUDA DE VOCÁS POR FAVOR NOS AJUDEM","Os locais mencionados no texto são:

- Ponte da Amizade: local onde os assaltantes estão localizados.","Infelizmente, não há menção explícita a organizações específicas no texto fornecido. No entanto, existem elementos que indicam a presença de criminosos agindo em determinada área, o que pode sugerir uma possível organização criminosa não mencionada no texto.",Não há pessoas explicitamente identificadas no texto fornecido.
16,Venda de drogas na esquina de Rua Formosa com cristalina e Rua Morrinhos. ,"Locais identificados:

1. Rua Formosa
2. Cristalina
3. Rua Morrinhos","Não é possível identificar organizações específicas com base nas informações fornecidas no texto. No entanto, é provável que haja envolvimento de grupos de narcotráfico ou gangues locais que operam nessa área.","Não é possível identificar as pessoas mencionadas no texto, uma vez que não são fornecidos nomes específicos. A referência é feita apenas a ""venda de drogas"", sem citar pessoas envolvidas."
17,Venda de drogas na beira do rio sarabui do lado da chatuba mesquita na luz do dia e da noite bandido tem olheiro na esquinas sendo do lado nilopolis na rua marechal castelo Branco no final que dar acesso a rua travessa divisa eles corre para mata melhor acesso para pegar eles cerca pela mata e pela rua porque eles corre igual rato. ,"- Rio Sarabui
- Chatuba
- Mesquita
- Nilópolis
- Rua Marechal Castelo Branco
- Rua Travessa Divisa
- Mata","Não é possível identificar organizações específicas mencionadas no texto. No entanto, é possível inferir que estão envolvidas atividades criminosas, como tráfico de drogas, e que há uma estrutura organizada por trás dessas operações, incluindo bandidos com olheiros e rotas de fuga planejadas.","Não é possível identificar as pessoas mencionadas no texto, pois as informações fornecidas são muito limitadas e não há nomes específicos mencionados. Além disso, o texto se refere a indivíduos envolvidos em atividades criminosas, o que requer a devida investigação pelas autoridades competentes."
18,"Boa noite vai acontecer um baile funk aqui no caju eo chefe do tráfico  ""Bob"" vai está no local e ele está com os seguranças dele em 2 carros um hb20 sedam é um punto vermelho ele está no local conhecido no caju rua da feira","Locais identificados no texto: 
- Caju (bairro onde vai acontecer o baile funk)
- Rua da Feira (rua no bairro Caju)",Não é possível identificar organizações específicas com base nas informações fornecidas no texto.,"As pessoas mencionadas no texto são: 
- O chefe do tráfico ""Bob"" 
- Os seguranças dele"
19,Menores de idade vendendo e utilizando drogas e circulando de moto todos os dias em alta velocidade pondo em risco a população do bairro eles não tem documentos nem carteira por favor nos ajude tá perigoso ,"Os locais mencionados no texto são: um bairro onde ocorre a circulação de menores de idade vendendo e utilizando drogas, além de circularem de moto em alta velocidade.","Não é possível identificar organizações específicas no texto. No entanto, pode-se inferir que existe uma falta de efetividade por parte das autoridades locais, responsáveis pela segurança pública e pela emissão de documentos, para lidar com o problema.","Não é possível identificar as pessoas mencionadas no texto, uma vez que não fornecem informações específicas como nomes ou características físicas."
20,Trafico de drogas perturbando moradores e incrível como a policia não vem aqui uma meia dúzia de molekes com armas velhas enferrujadas perturbando moradores rua sem saída por favor peça ao pessoal do 12Ëdar uma dura aqui na rua 21 no final da rua no engenho do mato  Tem uma moto popi amarela que do gerente da boca ele anda livremente aqui com um revolver na cintura intimidando todos e um muleke magrinho mais ou menos 1.70 branco cabelo baixinho preto eles ficam muito na casa numero 12 da rua 21 (final da rua e mais afrente no final da rua se costumam começar o movimento as 11.00hs,,,
21,"Venho, novamente, relatar que há no nº. 51 da Rua Bias Fortes pessoas consumindo e vendendo drogas. Já veio uma viatura descaracterizada no local, mas os drogados/ traficantes continuam no mesmo local. Estão agora mesmo consumindo drogas no mesmo local.Casa verde entre uma igreja e uma clinica.",,,
22,"Boa tarde, bandidos colocaram a "" boca"" dentro do terreno de moradores ( os moradores não tem nada a ver com isso) trata se de um corredor no endereço da rua javata 473. Anchieta. A boca fica no portao social que não fecha. Este endereço também serve de rota de fuga quando ha operação policial pois tem frente para rua javata e a saída de fundos para rua himalaia. Eles escondem armas e drogas neste quintal quando fogem da polícia. Há criancas e adolescentes inocentes no local. ",,,
23,"Todas as sextas feiras tem baile funk , começar meia noite,todas as sexta é um inferno",,,
24,"Atenção policiais da área do 9 Bpm, se quiserem pegar o wesley vulgo russinho da favela do muquiço, e só ficar aqui na travessa Santo António em marechal Hermes. Ele vem buscar o comparsa dele de nome Emanuel  todos os dias a partir das 15h no máximo as 20h, para formarem na boca de fumo. Isso é todo dia. Estou mandando a foto dele. Observando: O wesley e o que está de camisa branca e bermuda preta na foto.",,,
25,Tráfico na esquina de Rua Cristalina com Formosa em Vila Zulmira éden São João de Meriti. DROGAS ESCONDIDAS EM TELHAS NO UTILIZADAS EM FRENTE DA IGREJA EM CONSTRUÇãO NA RUA FORMOSA ENTRE CRISTALINA E RUA MORRINHOS.,,,
26,"Os bandidos do morro dona marta estão pesadão com fuzis como AK e pistolas, e quando os policiais saem em patrulha eles sobem nas lages e ficam lá até saírem, o ponto preferencial e na Lage de uma crente ao lado dá casa de um morador conhecido na comunidade como Tião belo, peço que sejam usados binóculos e helicópteros para os observar pois eles dão muito mole se escondendo nas lages a crente deixou eles ficarem quando a coisa fica séria eles entram na casa dela, eu moro na comunidadea mais de trinta anos e não admito isso eles passam o tempo todo fumando maconha e jogando sujeiras no meu quintal, toda a comunidade está estarrecida porém não podem fazer nada, por favor me ajudem!!!",,,
27,Estao traficando no bairro no meio de crianças os pms vem eles saem e valtam para o mesmmo lugar,,,
28,Trafico de drogas. Vagabundos fogem pelos fundos que da num campo de futebol. Há armas. Mulheres dos vagabundos guardam as drogas,,,
29,Trafico intenso de drogas. Vagabundos fogem pelo campo de futebol que fica atras da casa. Possuem armas e drogas. Mulheres dos vagabundos envolvidas,,,
30,"Já fiz outras denúncias e nada até agora foi feito. Na minha Rua meu vizinho de nome Ruan, que já foi preso, está vendendo drogas na casa dele, há um constante movimento de carros e de pessoas estranhas entrando e saindo da casa dele, o movimento aumenta na madrugada. Ele dá varias festas com funks proibidos. Endereço: Rua Julio Salusse, número 121, praça cruzeiro, Rio Bonito, rua asfaltada atrás da quadra do cruzeiro. é um sobrado de 3 andares. Ainda no tijolo. O pai do Ruan faz gatos, coloca instalações e fios ilegais. Inclusive policiais militares ja foram acionados, entraram e saíram da casa do Ruan e nada aconteceu.",,,
31,"Bom dia, gostaria de denunciar milicianos agindo livremente na comunidade águia de ouro em Inhaúma,peço que por favor investiguem pois a luz do dia eles ficam escondidos,mas ao cair da noite esse grupo de vagabundo fica em vários pontos dá comunidade, inclusive na passarela que passa em cima dá linha do trem!Estou enviando a foto de um miliciano de fuzil em frente a associação da comunidade do guarda,ele está fazendo a segurança do marquinho Catiri que está dentro da associação do guarda...Estou enviando também a foto de uma mulher que faz parte da milicia,mas atua cobrando uma parte da comunidade,mas existem outras três mulheres que também fazem essa função.",,,
32,Transporta drogas como mototaxi ,,,
33,Transportando via mototaxi ,,,
34,"Rua 4 jardim bela floresta Magé RJ , rua sem saída , portão preto de garagem , são duas casas , a casa de baixo está tendo Tráfico de drogas e armas ... Larissa o nome dela ..",,,
35,"TODOS OS DIAS, DEPOIS DAS 23h OCORREM ASSALTOS AOS MORADORES. SAO TRÁS CARAS ARMADOS COM PISTOLAS QUE FICAM EM FRENTE PONTE DA AMIZADE ASSALTANDO. NOS MORADORES NAO AGUENTAMOS MAIS PEÇO A AJUDA DE VOCÁS POR FAVOR NOS AJUDEM",,,
36,Venda de drogas na esquina de Rua Formosa com cristalina e Rua Morrinhos. ,,,
37,Venda de drogas na beira do rio sarabui do lado da chatuba mesquita na luz do dia e da noite bandido tem olheiro na esquinas sendo do lado nilopolis na rua marechal castelo Branco no final que dar acesso a rua travessa divisa eles corre para mata melhor acesso para pegar eles cerca pela mata e pela rua porque eles corre igual rato. ,,,
38,"Boa noite vai acontecer um baile funk aqui no caju eo chefe do tráfico  ""Bob"" vai está no local e ele está com os seguranças dele em 2 carros um hb20 sedam é um punto vermelho ele está no local conhecido no caju rua da feira",,,
39,Menores de idade vendendo e utilizando drogas e circulando de moto todos os dias em alta velocidade pondo em risco a população do bairro eles não tem documentos nem carteira por favor nos ajude tá perigoso ,,,
