assunto;relato
Tráfico de drogas/Armas;Menores de idade vendendo e utilizando drogas e circulando de moto todos os dias em alta velocidade pondo em risco a população do bairro eles não tem documentos nem carteira por favor nos ajude tá perigoso 
Tráfico de drogas/Armas;Forte movimento de Tráfico de drogas no bairro, com muitas pessoas que não são do bairro vindo em busca dos intorpecentes, Uso de drogas na rua. Os traficantes ficam na barbearia  Chamada barbearia do Fabiano  Esse Fabiano é um dos líderes do tráfico. E vários que vendem pra ele.
Tráfico de drogas/Armas;"NA MINHA RUA TEM UMA ""BOCA DE Fumo"" OPERANDO Ã  todo o vapor  24 horas por dia fassa chuva ou fassa sol "
Tráfico de drogas/Armas;Nesta estrada depois do campo de futebol e do colégio jair Rodrigues, todo dia lá pras 17h nós moradores vemos uns oito marginais andando armados com arma de fogo e vendendo muita muita drogas, estamos aqui assustados nem vemos policia aqui pedimos socorroooo não queremos isso aqui, era um bairro tranquilo peço muito a ajuda de vocês rápido
Tráfico de drogas/Armas;Venda de drogas na casa onde esta ocorrendo uma festa com traficantes armados na Travessa Santos 58. Rua é perpendicular a João Vicente entre o Hotel Portelão e o Colégio Sta Mónica. A casa é norma, mas fazem de casa de festa.
Tráfico de drogas/Armas;"Pelo amor de Deus comandante do 9 batalhão tome alguma providência sobre essa bandidagem que está passando aqui na travessa Santo António em marechal Hermes. Eles saem da favela do muquiço pegam a rua jabiri e entram em nossa rua. Todos com armas na mão, e de motos. A polícia não pega porque não quer tem um tal de wesley vulgo ""russinho"" que tem até horário para passar aqui ele vem todos os dias tomar banho na casa da mãe sempre no período de 8h até no máximo as 11h. E ninguém faz nada. Os moradores estão avoados e com medo, pois ele é violento e abusado ele é um dos frentes da favela do muquiço agora. Precisamos de ajuda na nossa rua nunca teve isso. Ou o comandante do 9 batalhão vai esperar se formar uma nova comunidade ou uma extensão do muquiço para tentar fazer alguma coisa. Na foto em anexo o wesley e o de camisa branca e bermuda preta."
Tráfico de drogas/Armas;"Os moradores da travessa Santo António em marechal hermes estão abandonados estamos sofrendo com a ação de bandidos que saem da favela do muquiço é aterrorizam a gente. Principalmente um tal de wesley vulgo "" russinho"" que passa todos os dias pela manhã para tomar banho na casa de sua mãe é pior ele é primo do policial do bope de nome Renato e sobrinho do policial da UPP de nome Clayton. Ambos não fazem nada para reprimir seu familiar. Com isso ele continua aterrorizando a todos aqui na rua. E a pm não faz nada nem aqui passa, quando a polícia entra na favela do muquiço eles correm tudo para cá. Assim ninguém é encontrado lá. Nós não aguentamos mais isso esse abandono. Ficamos sabendo que a pm vem aqui porque está recebendo dinheiro dos traficantes do muquiço para deixar eles circularem pela área. Por isso tanta liberdade. Mesmo assim queremos não acreditar nisso e esperamos que alguma coisa seja feita pela o comandante do 9 batalhão. Até porque Pelo amor de Deus comandante do 9 batalhão tome alguma providência sobre essa bandidagem que está passando aqui na travessa Santo António em marechal Hermes. Eles saem da favela do muquiço pegam a rua jabiri e entram em nossa rua. Todos com armas na mão, e de motos. A polícia não pega porque não quer tem um tal de wesley vulgo ""russinho"" que tem até horário para passar aqui ele vem todos os dias tomar banho na casa da mãe sempre no período de 8h até no máximo as 11h. E ninguém faz nada. Os moradores estão avoados e com medo, pois ele é violento e abusado ele é um dos frentes da favela do muquiço agora. Precisamos de ajuda na nossa rua nunca teve isso. Ou o comandante do 9 batalhão vai esperar se formar uma nova comunidade ou uma extensão do muquiço para tentar fazer alguma coisa.do muquiço pode ter se formado aqui. Porque já temos de tudo aqui temos um que trabalha no radinho de nome Emanuel outro que é foqueteiro de nome Breno e ainda temos esse wesley que é um dos donos do muquiço, esse é o pior mata sem pena. "
Tráfico de drogas/Armas;Rua Rosário Bernardo Ferreira fechada para festa do tráfico. Rua de ligação entre estrada Itapicuru, 62 e Rua Doutor Leandro Ribeiro da Silva, 14. Em frente a Escola Municipal Mata Machado.
Tráfico de drogas/Armas;Rua Benjamin Constant a partir do número 104 até o final Rua sem saída para carro, tem uma escada que dá para Santa Teresa ao final. Quem comanda é uma mulher branca cabelo comprido magra e a outra é a mãe do falecido Fat, o nome é Marina são muitos garotos pretos e um branco gordo. Eles escondem as drogas nos carros muros e relógios dá light. Na esquina tem um lava jato clandestino ente Rua Benjamin Constant e Rua Fialho que vende tb drogas. é 24 horas os usuários de drogas na porta dos moradores comprando drogas e nos sendo ameaçados por essa pessoas. Parece que a Rua Benjamin Constant na Glória um Bairro dá Zona sul está esquecida pela segurança pública. Favor trazer para nós segurança e tranquilidade. Obrigada em anexo fotos.
Tráfico de drogas/Armas;Boa tarde hj vai ter um evento no caju e o chefe do caju vai está nela, o chefe do caju é conhecido como Bob do caju ele está tacando o terror na comunidade e está fortemente armado e com muitas drogas em um carro hb 20 sedam marrom claro o carro e roubado, e o outro comparsa dele conhecido como sozinha em um punto vermelho o chefe estará no evento hj na comunidade próximo a uma base da upp caju 
Tráfico de drogas/Armas;Festa do tráfico. Fecharam a Rua Rosario Bernardo Ferreira, num 1. Rua de ligacao entre estrada de itapicuru 62. e Rua Doutor Leandro Ribeiro da Silva 14. Rua fechada pelo tráfico para festa da maconha e cocaina.
Tráfico de drogas/Armas;Venho por meio desta mais uma vez pq está impossível viver desta maneira i estado não está dando a mínima mesmo, traficantes armados, hj solicitei um uber quando o carro estava chegando os traficantes já foram apontando a arma para o rapaz que ficou em pânico sorte que eu já estava no portão e falei que era uber espero que tomen alguma providência pois até as lãmpadas da rua eles estão quebrando desde já agradeço boa noite 
Tráfico de drogas/Armas;Na clínica de pilares na av. João ribeiro, n.5 - pilares RJ tem uma enfermeira de nome Valéria que dopa e rouba os cartÃµes de crédito e dinheiro das pacientes, ela tem vários cartÃµes na casa dela que fica na rua Henrique scheid, 391 - casa 1 engenho de dentro - rj. Esses cartÃµes ela entrega pró seu filho Carlos Eduardo conhecido como Dudu que pertence a uma quadrilha, não sei como eles fazem, mas passam esses cartÃµes nos supermercados e lojas. Por favor investiguem que eu tenho certeza que tem muito mais coisa envolvida, essas pessoas são perigosas
Tráfico de drogas/Armas;Hoje por volta de final  de tarde véi no sítio que eu moro bandidos  querendo abri pontos de drogas e ainda ameso minha tia de morte 
Tráfico de drogas/Armas;Tráfico de drogas no bairro do Caleme, Teresópolis-RJ Casa branca em cima da mercearia, dono da casa Jorginho, casa alugada para traficantes
Tráfico de drogas/Armas;Uma boca de fumo está funcionando na rua João torquato 101 fundos. Eles ficam disfarçando o comércio com um carrinho de mercado que leva e traz a droga dos fundos da casa para frente do portão. 
Tráfico de drogas/Armas;Traficante de nome Michael, procurado em Silva Jardim-RJâ  está se refugiando no condomínio Ulisses Guimarães em Queimados, na estrada Padre José de Anchieta, na casa de Emissão Portugal.
Tráfico de drogas/Armas;Estamos sofrendo com Tráfico de drogas em plena luz do dia,os traficantes nos impedem de andar livremente pela rua nos ameassado com armas de fogo em punho e Os moradores desta rua a qual me refiro. por medo evita ficar fora de suas casas. por isso com pequenas eseçoes todos que estão sirculando nela se não são viciados em busca de drogas são os traficantes.
Tráfico de drogas/Armas;Parabéns pela excelência serviço da polícia e a excelência serviços de vocês e do disque denúncia agora estar tudo calmo a onde esses bandidos empobrece o lugar e aterroriza o cidadão do bem, agradeço a Deus pelo os homens de bem e coragem contra a força do.mal.
Tráfico de drogas/Armas;CARLOS EDUARDO ARAUJO.CONHECIDO COMO DUDU ARAUJO.VENDA E POSSE DE MACONHA E COCAINA PARA CLASSE ALTA DO LEBLON. VISTO SEMPRE COM UM COMPARSA DO VIDIGAL.MORA NA DIAS FERREIRA 142.DIRIGE VAN DE TURISMO E TEM HISTORICO DE AGRESSOES.VENDEPRA ALTA CLASSE.
Tráfico de drogas/Armas;Traficantes continua em pleno vapor atrás do colégio Marcílio dias,e se esconder na igreja batista na rua três quando a polícia vem
Tráfico de drogas/Armas;Traficantes continuam aterrorizando moradores no bairro roseiral, Belford roxo
Tráfico de drogas/Armas;Esquema de Trafico De Drogas chefe e Gerente conhecido como Tico Bala possui grande Armamento de grosso Calibre Situado na av maracanã próximo o Bar do Zé de frente para uma casa tem uma árvore o meliante vive numa Avenida onde possui outras casas Ta na Hora de a policia ACABA COM A FARRA DESSE BANDIDO 
Tráfico de drogas/Armas;Venho por meio desta,diser que minha rua se transformou  em uma feira livre de drogas temdo seu ponto mais alto quando anoitece.. 
Tráfico de drogas/Armas;Bom dia. está acontecendo um tipo de reunião  de banditos aki na rua.  A poucos minutos traficantes passarão  ns frente da minha casa falando que os moradores deveriam por fogo em pneu para empedir que os policiais emtre aqui.
Tráfico de drogas/Armas;Homens armados todos os dias 24h na minha porta vendendo drogas
Tráfico de drogas/Armas;Continua traficantes acabando com nossa paz no bairro roseiral, Belford roxo , policia por favor ,ajuda nos
Tráfico de drogas/Armas;Denuncio esse rapaz pois ele só vende droga para amigos e por indicação ele frequenta festas badaladas . Ele tem um stand no centro do rio mais é só fachada oque faz dele um homem popular conhecido nesse meio de festa rave e badalação é a sua venda de drogas ele vende de tudo muito esperto ,maldoso e estrategista . Não aguento mais ver esse cara ficar por aí solto.
Tráfico de drogas/Armas;Não aguento mais viver assim traficantes armados em minha porta e vendendo drogas, gritaria até altas horas não consigo ter uma noite de sono em paz, pelo amor de deus façam alguma coisa 
Tráfico de drogas/Armas;Venda de drogas agora na rua noel nutels, perto da praia.  Infelizmente está ficando comum! No fim da praia fica aquela zona de caminhÃµes e barraqueiros na rua e agora aparecem pessoas vendendo drogas. Essa semana teve 2 dias de presença. Hoje em determinado momento tinha até fila! Surreal
Tráfico de drogas/Armas;Pela primeira vez depois de muitas denúncias, vimos uma viatura passa pela travessa Santo António em Marechal Hermes. Muito obrigado comandante do 9 batalhão por escutar a voz do povo que estava sofrendo com a ação de bandidos da favela do muquiço que estão tentando fazer da nossa rua uma extensão daquela comunidade. Que essa ronda seja frequente que só assim teremos paz. Nós lhe agradecemos. Estamos enviando mais uma foto de outro bandido que mora aqui em nossa rua de nome Emanuel (está de camisa azul).
Tráfico de drogas/Armas;Tem bandidos vendendo drogas na minha rua 
Tráfico de drogas/Armas;Traficantes dá facção CV, na comunidade dá caixa d'água no jardim miriambi em são Gonçalo, depois de uma breve guerra com a antiga facção que dominava o local ADA, vem retomando a prática de venda de entorpecentes na favela há, onde um jovem chamado Gabriel filho de Anne, recém saído do padre Severino onde ficou guardado por ter sido preso por tráfico no morro dá pedreira no centro de Alcântara, vila 3 no ano passado quando ainda era menor, morador dá rua Nonato Farias vila 3 SG, próximo ao bar do Ruan, e que eventualmente guarda drogas e armas em sua casa, tem sido o novo brabo dá localidade desfilando armado na frente dos moradores fazendo ameaças, tudo isso em função dá recente guerra vários moradores estão sendo expulsos dá comunidade, moradores deais de 40 anos, só por serem parentes de envolvidos com a facção rival, disparam armas a esmo a todo momento e ficam gritando, a boca funciona na Nonato Farias e na rio Araguaia os mesmos falam em alta voz prós moradores ouvirem que com eles é diferente a polícia expulsou os ADA mas com eles é diferente, a casa de um policial militar que foi expulso recentemente dá comunidade no alto do morro, onde existe uma antena dá oi está ocupada por traficantes, que querem negociar o aluguel dá antena para permitir que a mesma funcione, é assustador ver que o crime organizado vem se assenhorando dá cidade vivemos dias difíceis em que o estado abandonou a população a mercê dá criminalidade e isso não vai acabar bem tudo tem limite.
Tráfico de drogas/Armas;Traficantes do CV estão expulsando vários moradores do complexo dá caixa d'água, que são parentes de traficantes dá facção rival ADA, estão infernizando a vida dos moradores, um deles é o merdinha do Gabriel filho dá Anne aprendiz de tralha um frouxo de merda que não aguenta uma porrada, mora na Nonato Farias vila 3
Tráfico de drogas/Armas;Tráfico volta com toda força na favelinha, aprovando pena com acira Cotrim perto do bar do Ruan e próximo a casa dá Anne mãe do Gabriel o mais novo candidato de Bangu, o bar do Ruan é só um ponto de referência ao lado dele tem uma casa vazia que os infelizes de vez em quando dormem nela, estão com a boca no Flamengo rua rio Araguaia tb, eles estão neuróticos por conta dá recente guerra estão expulsando vários moradores antigos e todo mundo pra eles é x9, peço aos SRS policiais que por favor não informem que foi disque denuncia.
Tráfico de drogas/Armas;Esses são os bandidos do fumacê conjunto da água branca ponto de referência escola Lima Barreto Eles estão acabando com familiares usando menores de idade no tráfico o vugo café e vugo rockeiro são os gerentes do tráfico no bloco 30 primeira escada no quarto andar mora Vinicius o rockeiro e no bloco 18 na escada do quinto andar 503 o vugo café giocelio eles tem planta da maconha e faz endolaçao no apartamento famílias tem medo na comunidade eles estão usando adolescentes e manda alguns pra favela da vila aliança amarelinho acari e muquiço famílias vive com medo mês passado eles matou o dono da sorveteria dentro de seu apartamento 
Tráfico de drogas/Armas;Na av. Mirandela em frente ao SubWay lanchonete e encima do mesmo acesso pela escada do lado dá loteria...No município de Nilópolis RJ acontece Tráfico de drogas e máquinas caça níquel...Viciaram meu filho...E agora eu passo um sufoco em casa por conta deles...Pra ele jogar esse maldito jogo enquanto consegue comprar cocaína lá...O Dono de tudo é o Geraldo..Donos dos imóveis..O Gerente é o Luís Perninha que fica sentado mais afrente em um bar na esquina dá Mirandela com Walace Paes Leme...é os seguranças q trabalham pra eles... Também trabalham para a apuração do jogo do bicho q fica em cima desse bar...O problema q esses seguranças são polícias por isso não acontece nada...Vou mandar a globo investigar e uma cópia dessa denúncia para eles e para CGU,pois não aguento mais ver minha casa ser destruída por conta desses carniceiros...Emprestam dinheiro a juros para as pessoas continuarem jogando, depois cobram uma fortuna e espancam e pegam as coisas na sua casa quando seu filho não tem pra pagar e nem vc..Me ajudem por favor...
Tráfico de drogas/Armas;Estao armados e cheio de drogas. 
Tráfico de drogas/Armas;Bandidos armaram uma barricada no início da rua professor assis, esquina com rua Silva jardim em Neves, são Gonçalo. E estão fazendo ronda armados de pistolas e fuzis na região.
Tráfico de drogas/Armas;Reunião de vagabundos em frente ao número 332 Rua Angustura número 332 próximo ao ponto final do ónibus linha 526 viação estrela Os  vagabundos se reúne enfrente ao 332 todas as noites Eles começam a se reunirem as 22 horas
Tráfico de drogas/Armas;Jovem vendendo drogas na Olegário Maciel no bar GANJAH e no bar VOID principalmente sexta feira a noite. 
Tráfico de drogas/Armas;Pode ter drogas na barraca do nande, atrás do colégio Marcílio dias
Tráfico de drogas/Armas;Jovem traficando drogas na Olegário Maciel na barra da tijuca em um bar chamado GANJAH nos finais de semana que por sinal é um antro de drogas. Esse bar fica ao lado da pizzaria DOMINOS. Suspeito tem diversas tatuagens e um piercing(espécie de brinco) no nariz.
Tráfico de drogas/Armas;Boa tarde,venho através desta,fazer uma visita no endereço citado.pois o mesmo tem morador que está consumindo e até queimando drogas no local,o cheiro e insuportável.  Resido perto.e o mesmo faz no período da noite,quando o comércio fecha.vai até carro lá buscar ou entregar.cada pessoa mal encarada e até mesmo casal. Tudo começa em festas,bebidas no local. Isso eh um absurdo. No período do carnaval  houve até tiros do local. Segundos boatos alguém de lá porta uma arma. (Revolver). Peço a solicitação  de um mandado para verificação do mesmo na residência. Pois isso eh constante. Já que não tenho mais como suportar isso. Peço a prisão do mesmo.pois o mesmo vem aterrorizando a todos no bairro e vizinhança.   Dizendo ser o dono  de lá. 
Tráfico de drogas/Armas;Roubo de cargas e tráfico.essa semana chegou um cargas de farmácia é fraldas .E reunião dos trafiamtes do morro menino de Deus 
Tráfico de drogas/Armas;Elementos reunidos nesse momento com drogas e armados no final da antiga rua 72 do Jardim Catarina. Todos os dias nesse horário eles ficam de moto para lá e pra cá. Usam drogas o tempo inteiro, precisamos de ronda policial na rua para coibir esses elementos, a rua é a saída.
Tráfico de drogas/Armas;Hoje as 23:00 terá baile funk de bandidos e prostituição infantil
Tráfico de drogas/Armas;Nesse momento varios traficantes em um rolezinho no meio da praça do village pavuna . todos armados de fuzil comemorando no meio da praça.....
Tráfico de drogas/Armas;Os bandidos estão fasendo uma verdadeira algazarra por causa  de  crack e pó. Venham rápido 
Tráfico de drogas/Armas;O afroreggae é uma fachada de algumas facçÃµes do rio o ex traficante conhecido como jp do caju usa isso como fachada pra se camuflar no meio disso como outros também, outra denúncia e os carros que ficam na coca-cola ali do caju na entrada eles são Uber executivo mais também sao meio de transporte do tráfico do caju, o traficante Bob do caju usa eles as vezes para missÃµes de atravessar pra outro morro e também pra sair com meninas 
Tráfico de drogas/Armas;Boca de fumo com traficantes vendendo drogas na rua no meio de crianças e moradores nas ruas Mato Grosso próximo ao número 15 e na Rua do Escorrega próximo ao número 33, alguns traficantes armados e outros menores
Tráfico de drogas/Armas;No bairro de são José do Imbassaí em Maricá no KM22 existe um bar na esquina da Avenida Graruja com Estrada Real de Maricá onde fica com o som auto até a madrugada e os Bandidos dá localidade após o consumo de drogas e bebidas, saem para assaltos e furtos na região.
Tráfico de drogas/Armas;Não aguentamos mais todo dia depois de 4 horas dá tarde ficam uns quatro gansos consumindo e vendendo drogas 
Tráfico de drogas/Armas;Traficante chamada de ElizÃ¢ngela gerência uma boca de fumo. A mesma possui associados(inclusive menores) que cuidam da distribuição e segurança do local, armados com pistolas e uma escopeta. Durante o dia um homem negro de média estatura fica na frente do local para verificar a chegada de policiais.
Tráfico de drogas/Armas;"Vizinho trafica drogas. Endereço servidão Jorge Justen  947 (casa amarela de fundos ) em frente ao ""celminha "". Que fique claro q NãO são as pessoas da casa da frente e nem da oficina mecÃ¢nica,  mas da casa atrás da oficina. O nome do traficante é Maicon e a dona da casa Cintia.todas as pessoas na região sabem é tem muito medo de denunciar.  Fazem muitas festas de madrugada e vendem drogas a menores."
Tráfico de drogas/Armas;A polícia está vindo,mais os traficantes são teimosos e continua vendendo para os estudantes dá escola estadual Marcílio dias
Tráfico de drogas/Armas;Bandidos fortemente armados aterrorizando os moradores, fecharam a rua com barreiras e dão tiros a esmo. 
Tráfico de drogas/Armas;Uso de droga na rua meliantes si reúnem pra cometer roubos na região
Tráfico de drogas/Armas;Traficante. So fica no periodo da manha na residência. Vive gritando acredindo a sua mulher, aparenta ter uns 23 anos, atende pelo nome de João
Tráfico de drogas/Armas;Funcionamento de uma possível boca de fumo tem como gerente Um tal de Igor possuí passagem contra assaltos na localidade elemento muito sinico Gosta de esculacha quando assalta suas vítimas 
Tráfico de drogas/Armas;Estao com grande quantidade de drogas! Traficam, policiais militares corruptos pegam dinheiro (arrego). Uma poca vergonha.quando os policiais invadem para apreensao suas esposas escondem as drogas nos seios e etc...maior quantidade da droga fica na avó de leo no numero 358 e na lage das casas 
Tráfico de drogas/Armas;Venham rápido pois os traficantes estão fazendo uma reunião em pleno ar livre aqui 
Tráfico de drogas/Armas;Venho mais uma vez denunciar o trafico de drogas que esta cada vez mais ousado na comunidade santa marta, os bandidos estão trepando em nossas lages e telhados quando as patrulhas diárias são feitas, eles não estão nos respeitando, tenho um vizinho que esta desempregado, e esta vivendo de bicos porem o telhado dele e pisoteado quase que diariamente pelos marginais que também enchem minha lage com restos de quentinhas e bitucas de maconha moro a mais de trinta anos e nunca havia passado por isso, aqui tem uma casa de uma crente ao qual eles ficam na lage e passam para as outras para fugir dos PM, na minha primeira denuncia o BOPE apareceu, mais ficou quase meia hora na pracinha ai os fogueteiros que ficam lá na pracinha e no cantão  deram alerta, a policia podia vir de helicópteros, com olheiros de binóculos e também pela mata ai sim vão pegar esse safados, eu náo aguento mais daqui a pouco eles matam algum morador pois discutem quase todo dia com todos. O morro tem fuzis mais os que sobem nas lages na maioria das vezes estão com duas pistolas e doidão de maconha, estou mandando em anexo uma imagem com o mapa ao qual eles percorrem a fuga e um video com o baile funk que ocorreu neste final de semana feito por eles.
Tráfico de drogas/Armas;Quero denúnciar o vagabundo chamado Michael, morador da rua José Marques centro Queimados RJ esse miserável está roubando os moradores da rua, não respeita ninguém, e está abusando de uma menina pequena, sua sobrinha
Tráfico de drogas/Armas;Tenho dois filhos que estudam no Cie 415. Miguel Cervantes. Cito a rodovia BR 493 km 1 bairro manilha - Itaborai-RJ. Ontem dia 20/03/17 por volta das 13:00 hs deixei os dois na porta do Colégio e fiquei aguardando pois um dos meus filhos estava com o primeiro tempo vago. Resolvi esperar pois se não fosse mais ter aula eu o levaria para casa. Foi nessa espera que fiquei muito preocupado. Cerca de quatro alunos de revesam sempre indo a beira de cerca passando papelotes. Que com certeza não eram belas para menores que os procuravam fora da escola. Em alguns momentos alguns pulavam a cerca protetora e falavam com os demais que iam fumar no escritório. Cerca de 30 minutos depois voltavam com im fedo insuportavel de maconha e pulavam o muro novamente e voltavam para dentro da escola. Ou seja. Estão com a mochilas cheias de droga e usando a escola como proteção. O pior é pensar que alen das drogas possa ter armas. Pois esses meninos só podem estar sendo financiados pelo tráfico. Que os abastecem. Vendem na escola e ficam acima de qualquer suspeita. Enquanto isso mais filhos e os demais ocorrem grande risco além de serem ciagidos. Ou seja ninguém vê nada nem sabe de nada. Peço providências de preferência que o pessoal do serviço reservado p2 façam a investigação. Que certamente terem pleno êxito. Pelo comentário de alguns alunos isso acontece mais no turno da tarde. O Colégio é deficiente sem segurança, tem dia que não tem nenhum servidor no portão. Não há inspetores de pátio no período da tarde. Alunos as vezes usam drogas no banheiro masculino. Esta feia a coisa.
Tráfico de drogas/Armas;Há uma semana em Petrópolis RJ  Centro - praça dá liberdade Homem vendendo maconha para uma estudante, a luz do dia, traficante chamado Fernando, vulgo pichador buk
Tráfico de drogas/Armas;Travessa leonidia  ate o final da rua  dece  e  sobe  de moto   pessoas diferentes   e  alguns  moradores  juntos de noite  fica  algus   fumando  maconha    terreno baldio  enfrente a um bar de porta vermelha     precizamos de vs  direto aqui    finais de semana  quartas  becos e vielas      passo la e vejo isso        
Tráfico de drogas/Armas;A policia vem realizando um belissimo trabalho no bairro Caxambu em Petropolis ja prendeu alguns traficantes essa semana Rafael de Lima foi preso mais ele e um doa braços do trafico na localidade mais os grandes lideres sao Diego, naninho que ja se encontram presos, mais com grande atuaçao no bairro sao esses .Fabiano vulgo mussum, Matheus vulgo keus, Lucas vulgo anú, Daniel vulgo neneú, Lukinhas eles são representante do trafico carioca na comunidade .mais vim denununciar alem deles o conhecido matuto o cara que conversa diretamente com as lideranças do praque uniao já que infelizmente o caxambu foi registrado lá .o nome de e Valdimilsom vulgo sasá ele entrega a droga na comunidade com seu carro para reabastecimento de todos traficantes citados a cima algumas armas chegam na cumunidade atraves dele ele e morador do carangola vai ao caxambu com frequecia acompanhar a movimentação e passa dias fora da cidade já que o msm fica nessa conexão parque uniao petropolis 
