TODOS	O
OS	O
DIAS	O
DEPOIS	O
DAS	O
23h	O
OCORREM	O
ASSALTOS	O
AOS	O
MORADORES	PERSON
SAO	O
TRÁS	O
CARAS	PERSON
ARMADOS	O
COM	O
PISTOLAS	O
QUE	O
FICAM	O
EM	O
FRENTE	O
PONTE	O
DA	O
AMIZADE	O
ASSALTANDO	O
NOS	O
MORADORES	PERSON
NAO	O
AGUENTAMOS	O
MAIS	O
PEÇO	O
A	O
AJUDA	O
DE	O
VOCÊS	PERSON
POR	O
FAVOR	O
NOS	O
AJUDEM	O
Venda	O
de	O
drogas	O
na	O
esquina	LOCATION
de	O
Rua	LOCATION
Formosa	O
com	O
cristalina	O
e	O
Rua	LOCATION
Morrinhos	O
Venda	O
de	O
drogas	O
na	O
beira	O
do	O
rio	O
sarabui	O
do	O
lado	O
da	O
chatuba	LOCATION
mesquita	LOCATION
na	O
luz	O
do	O
dia	O
e	O
da	O
noite	O
bandido	PERSON
tem	O
olheiro	PERSON
na	O
esquinas	O
sendo	O
do	O
lado	O
nilopolis	LOCATION
na	O
rua	LOCATION
marechal	O
castelo	O
Branco	O
no	O
final	O
que	O
dar	O
acesso	O
a	O
rua	LOCATION
travessa	O
divisa	O
eles	PERSON
corre	O
para	O
mata	O
melhor	O
acesso	O
para	O
pegar	O
eles	PERSON
cerca	O
pela	O
mata	O
e	O
pela	O
rua	LOCATION
porque	O
eles	PERSON
corre	O
igual	O
rato	O
Boa	O
noite	O
vai	O
acontecer	O
um	O
baile	O
funk	O
aqui	O
no	O
caju	O
e	O
o	O
chefe	O
do	O
tráfico	O
Bob	PERSON
vai	O
está	O
no	O
local	O
e	O
ele	PERSON
está	O
com	O
os	O
seguranças	PERSON
dele	O
em	O
2	O
carros	O
um	O
hb20	O
sedam	O
é	O
um	O
punto	O
vermelho	O
ele	PERSON
está	O
no	O
local	LOCATION
conhecido	O
no	O
caju	LOCATION
rua	LOCATION
da	O
feira	O
Menores	PERSON
de	O
idade	O
vendendo	O
e	O
utilizando	O
drogas	O
e	O
circulando	O
de	O
moto	O
todos	O
os	O
dias	O
em	O
alta	O
velocidade		O
pondo		O
em	O
risco	O
a	O
população	O
do	O
bairro	LOCATION
eles	PERSON
não	O
tem	O
documentos	O
nem	O
carteira	O
por	O
favor	O
nos	O
ajude	O
tá	O
perigoso	O
