Entity,Label
sinagoga,location
casa,location
homens,person
homem,person
mulheres,person
mulheres,person
lugar,location
região,location
Bandidos,person
rua,location
moradores,person
bairro,location
Bandidos,person
esquina,location
moradores,person
motoristas,person
Bandidos,person
bairro,location
local,location
Pessoal,person
residência,location
comunidade,location
Moradores,person
estabelecimento,organization
area,location
residencial,location
ruas,location
Boca,organization
traficantes,person
Boca,organization
rua,location
rua,location
bar,location
esquina,location
dona,person
bar,location
polícia,organization
bar,location
bar,location
morador,person
bairro,location
rua,location
rua,location
bandidos,person
ruas,location
moradores,person
pmerj,organization
bairro,location
empresa,organization
cidade,location
prefeitura,organization
rio,location
Leopoldina,person
estrangeiros,person
ruas,location
local,location
cidadão,person
contribuinte,person
bandidos,person
policial,person
conivente,person
rua,location
Jockey,organization
RJ,location
Bandido,person
capital,location
população,person
Petrópolis,location
Jean,person
imediações,location
bairro,location
polícia,organization
Roberta,person
cidade,location
população,person
traficantes,person
morro,location
bortafogo,location
policiais,person
UPP,organization
traficantes,person
integrantes,person
Facebook,organization
Bandidos,person
residências,location
local,location
vila,location
Isabel,person
rua,location
Silva,person
milícia,person
parque,location
milícia,organization
Pantanal,location
parque,location
Wona,location
parque,location
parque,location
Pilar,location
parque,location
Suécia,location
Sarapuí,location
jardim,location
Gramacho,location
bandidos,person
milicianos,person
Diego,person
Rafael,person
russão,person
jardim,location
china,location
bairro,location
parque,location
moradores,person
Rafael,person
polícia,organization
homem,person
hospital,location
moradores,person
localidade,location
criminosos,person
bairro,location
vítima,person
Denilsson,person
melicianos,person
banco,organization
motorista,person
Peugeot,organization
meliante,person
morro,location
bairro,location
criminosos,person
área,location
vila,location
garagem,location
vila,location
polícia,organization
indivíduos,person
outros,person
facção,organization
moradores,person
outros,person
morro,location
policiais,person
Facebook,organization
Homem,person
casa,location
Jefferson,person
casa,location
Fernando,person
Fernando,person
sogra,person
Fernando,person
sogra,person
Jefferson,person
Fernando,person
Sofia,person
enteada,person
filha,person
Jefferson,person
menina,person
IML,organization
Fernando,person
menina,person
Jefferson,person
facebook,organization
viuva,person
Fernando,person
Pedreira,location
homens,person
mulheres,person
filhos,person
casa,location
TRAFICANTES,person
PEDREIRA,person
RONALDO,person
DONO,person
ITAGUAÍ,location
RONALDO,person
EMPRESA,organization
EMPRESAS,organization
EMPRESAS,organization
FORNECEDORES,person
CONTADOR,person
ADVOGADO,person
Nem,person
residência,location
senhor,person
Manuel,person
local,location
local,location
residência,location
polícia,organization
localização,location
localidade,location
local,location
moradores,person
indivíduo,person
Gmail,organization
Av,organization
domicilio,location
outrem,person
Gmail,organization
MILÍCIA,organization
SEPETIBA,location
PRAIA,location
PRESIDENTE,person
ASSOCIAÇÃO,organization
PRAIA,location
MILÍCIA,organization
SEPETIBA,location
HOMEM,person
BMW,organization
MILÍCIA,organization
assassinos,person
policial,person
região,location
méyer,person
cúmplices,person
complexo,location
autoridades,person
morro,location
Ipase,organization
bandidos,person
local,location
menor,person
menor,person
moradores,person
residência,location
avós,person
arredores,location
bairro,location
vila,location
vila,location
local,location
Homens,person
escadarias,location
andar,location
indivíduos,person
Vendedores,person
Evanildo,person
Davide,person
Colibri,person
Gustavo,person
todos,person
equipe,person
bar,location
Ruan,person
bar,location
casa,location
Gabriel,person
mãe,person
Ane,person
ADA,organization
comunidade,person
moradores,person
moradores,person
região,location
moradores,person
moradores,person
bandido,person
lote,location
andar,location
dono,person
ilícitos,person
YouTube,organization
Facebook,organization
Indivíduo,person
Av,organization
HOMENS,person
rua,location
RJ,location
Vandinho,person
filho,person
Wagner,person
local,location
polícia,organization
casa,location
Fernandinho,person
morador,person
rua,location
mulher,person
Tita,person
Cristiane,person
filhos,person
Ruan,person
Juan,person
esquina,location
rua,location
traficantes,person
moradores,person
localidade,location
todos,person
polícia,organization
DPO,organization
local,location
traficantes,person
rua,location
dono,person
moradores,person
gerente,person
local,location
Renato,person
presidio,location
traficante,person
Pit,person
amante,person
mulher,person
Adriana,person
vendedor,person
Guthyerre,person
mulher,person
mulher,person
amigo,person
morro,location
Facebook,organization
filho,person
ruas,location
Ipanema,location
Cristo,person
Cristo,person
presidio,location
amigos,person
filho,person
Luidy,person
justiça,organization
mulher,person
Adriana,person
Facebook,organization
assassino,person
Joel,person
lagoa,location
Criancas,person
comunidade,location
menino,person
moradores,person
bairro,location
barraca,location
igreja,location
Cristo,person
campo,location
Bandidos,person
rua,location
Covanca,location
comunidade,person
rua,location
irmãos,person
crianças,person
ninguém,person
criança,person
residencias,location
rua,location
usuário,person
moradores,person
rua,location
jovens,person
menores,person
ilícitos,person
YouTube,organization
Facebook,organization
Indivíduo,person
Av,organization
Traficantes,person
morro,location
embaixador,person
moradores,person
local,location
fazenda,location
ilícitos,person
YouTube,organization
Facebook,organization
Indivíduo,person
Av,organization
praça,location
McDonalds,organization
praia,location
local,location
guardas,person
praça,location
famílias,person
crianças,person
espaço,location
Detran,organization
moradores,person
rapaz,person
Eduardo,person
Policial,organization
moradores,person
Polícia,organization
rapaz,person
homem,person
produtora,person
rapaz,person
irmãos,person
produtora,person
RJ,location
site,organization
rua,location
bandidos,person
Jovens,person
comunidade,location
pm,person
comunidade,location
polícia,organization
traficantes,person
Fiat,organization
rua,location
lírios,person
rua,location
rua,location
RJ,location
homens,person
quadra,location
Madame,person
area,location
proximidades,location
bandidos,person
rua,location
bairro,location
moradores,person
Nei,person
casa,location
traficantes,person
moderadores,person
bairro,location
taxista,person
traficante,person
policiais,person
rua,location
pessoas,person
Rafael,person
polícia,organization
local,location
local,location
ladrão,person
gerentes,person
rua,location
Traficante,person
comunidade,person
campo,location
prefeitura,organization
creche,organization
parque,location
morador,person
funcionário,person
creche,organization
LOCAL,location
vila,location
rua,location
parque,location
campo,location
vila,location
prédio,location
área,location
moradores,person
moradores,person
LOCAL,location
todos,person
rua,location
vila,location
mexicano,person
rua,location
campo,location
vila,location
mexicano,person
moradores,person
LOCAL,location
rua,location
vila,location
mexicano,person
campo,location
vila,location
moradores,person
LOCAL,location
campo,location
rua,location
jardim,location
rua,location
terreno,location
lugar,location
rua,location
moradores,person
rua,location
rua,location
bairro,location
autoridades,person
rua,location
polical,person
rua,location
esquina,location
rua,location
bandidos,person
bandidos,person
rua,location
moradores,person
faróis,person
moradores,person
homens,person
rua,location
Traficantes,person
comerciantes,person
centro,location
Traficantes,person
ruas,location
bairro,location
ministério,organization
galpão,location
Mesquita,person
comunidade,location
menino,person
Deus,person
batalhão,organization
cidade,location
município,location
traficantes,person
Policiais,person
DP,organization
policiais,person
policiais,person
prédio,location
bairro,location
cidade,location
Porteiro,person
moradores,person
delegados,person
indivíduo,person
delegacia,organization
RJ,location
cidade,location
RJ,location
diretor,person
DETRAN,organization
cidade,location
vereador,person
cidade,location
deputado,person
filho,person
vizinho,person
colegas,person
campo,location
escolas,organization
região,location
marido,person
pais,person
morro,location
Mangueira,location
criminosos,person
criminosos,person
área,location
área,location
policiais,person
moradores,person
morro,location
comunidades,person
pessoa,person
ponto,location
Bandido,person
Complexo,location
todos,person
Complexo,location
todos,person
localidade,location
namorado,person
moradores,person
bairro,location
rua,location
rua,location
agente,person
gente,person
trabalhadores,person
ilha,location
Tijuca,location
condominio,location
moradora,person
maria,person
pessoas,person
pessoas,person
rapazes,person
proximidades,location
local,location
moradores,person
pessoal,person
local,location
moradores,person
traficantes,person
envolvidos,person
cracolândia,location
local,location
área,location
policia,organization
comandante,person
batalhão,organization
marechal,person
vítima,person
bandidos,person
bandido,person
favela,location
Deus,person
coronel,person
rua,location
sociedade,organization
alguém,person
Gerente,person
rua,location
Lapa,location
Binho,person
rua,location
pedestres,person
favela,location
criminosos,person
laranjal,location
bandido,person
rapaz,person
policia,organization
delegacia,location
policia,organization
área,location
traficante,person
policia,organization
casa,location
criança,person
casa,location
policia,organization
FIAT,organization
ROUBADA,location
rua,location
garagem,location
Moradores,person
local,location
Tiros,organization
Criminosos,person
Polícia,organization
homens,person
esquina,location
igreja,location
rua,location
pessoas,person
policia,organization
pessoas,person
Russa,location
Homens,person
Marcos,person
mandante,person
miliciano,person
Carlinhos,person
Ricardo,person
milicianos,person
santacruz,location
Carlinhos,person
prefeito,person
Seropédica,location
usuário,person
rua,location
rua,location
rua,location
meliantes,person
amante,person
articuladora,person
facção,organization
comparsas,person
facção,organization
Brant,person
chefe,person
Wellington,person
Átila,person
comunidade,location
vizinhança,person
CASA,location
PESSOAS,person
ENTORPECENTES,person
USUARIOS,person
LOCAL,location
UBER,organization
POLICIA,organization
LOCAL,location
ENTORPECENTES,person
LOCAL,location
maconheiros,person
casa,location
casa,location
casa,location
Bomba,person
morro,location
traficante,person
Ataque,person
rua,location
bar,location
patrick,person
bar,location
patrick,person
rua,location
Ataque,person
Bomba,person
amigo,person
Ataque,person
Bomba,person
jeffinho,person
Tiele,person
rua,location
traficante,person
jeffinho,person
Tiele,person
Bomba,person
rua,location
Bomba,person
jeffinho,person
Tiele,person
gustavo,person
rua,location
fox,person
favela,location
jeffinho,person
mãe,person
casa,location
Motorista,person
PM,organization
bairro,location
Autor,person
Alexandre,person
calçadas,location
Vila,location
praça,location
rua,location
miliciano,person
policial,person
casa,location
moradores,person
condomínio,location
barraco,location
morador,person
Solicito,person
morador,person
menores,person
Mateus,person
casa,location
casa,location
Renata,person
Homens,person
Ford,organization
ilícitos,person
YouTube,organization
Facebook,organization
Indivíduo,person
Av,organization
policiais,person
batalhão,organization
rua,location
padaria,location
bairro,location
rua,location
policiais,person
bairro,location
pessoas,person
delegacia,location
casas,location
ladrões,person
rua,location
local,location
homens,person
moradores,person
local,location
pessoas,person
área,location
Bandidos,person
moradores,person
local,location
TRAFICANTES,person
ESTADOS,location
POLICIA,organization
SNIPERS,person
SNIPERS,person
TERRA,location
INFERNOS,person
bandidos,person
igreja,location
rua,location
rua,location
indivíduo,person
Gmail,organization
domicilio,location
alguém,person
vítima,person
outrem,person
Gmail,organization
rua,location
favela,location
bairro,location
Delamare,person
cidade,location
Deus,person
cidade,location
Deus,person
indivíduo,person
colaboradores,person
condomínio,location
usuários,person
polícia,organization
rua,location
Laranjal,location
Luciano,person
polícia,organization
mãe,person
rua,location
Morro,location
polícia,organization
policia,organization
casas,location
irmão,person
Sandro,person
avô,person
casa,location
bar,location
gente,person
Sandro,person
casa,location
quintal,location
trabalhadores,person
Sandro,person
polícia,organization
vizinhos,person
Sandro,person
mulher,person
filha,person
casa,location
avô,person
mãe,person
Luciano,person
mae,person
pessoas,person
casa,location
idosos,person
Mercedes,person
rua,location
caras,person
sobrado,location
casa,location
caras,person
outrem,person
Inquilino,person
YouTube,organization
Facebook,organization
Whatsapp,organization
SEAP,organization
Senhores,person
comunidades,person
fazendas,location
presos,person
cidades,location
Estado,location
humanos,person
Deus,person
criminosos,person
humanos,person
Traficante,person
Wilson,person
dono,person
Rua,location
Traficantes,person
moradores,person
Rua,location
Rua,location
condomínio,location
moradores,person
Rita,person
agente,person
bandidos,person
rua,location
Garoto,person
outro,person
Jabaquara,location
canal,organization
localidade,location
comunidade,person
morro,location
Ipase,organization
batalhão,organization
homens,person
morro,location
moradores,person
morro,location
comunidade,person
morro,location
Penha,location
Rondinho,person
Smith,person
pescador,person
local,location
vereador,person
Bandidos,person
moradores,person
rua,location
condomínio,location
rua,location
condomínio,location
localidade,location
usuários,person
compradores,person
condomínio,location
esquina,location
padaria,location
olheiro,person
rua,location
policiais,person
humanos,person
POLICIAIS,person
DELEGADO,person
TRAFICANTES,person
TRAFICANTE,person
Traficantes,person
casas,location
local,location
praia,location
ruas,location
ladrão,person
Traficantes,person
CV,organization
olheiro,person
Farias,person
polícia,organization
local,location
polícia,organization
alguém,person
bandidos,person
FTE,organization
homens,person
desgraçado,person
policial,person
pessoa,person
inocente,person
traficante,person
policia,organization
delegacia,location
morro,location
casa,location
Traficantes,person
rua,location
moradores,person
Homens,person
traficantes,person
rua,location
moradores,person
ilícitos,person
YouTube,organization
Facebook,organization
Indivíduo,person
Av,organization
comunidade,location
comerciantes,person
empresa,organization
bandidos,person
casal,person
bebê,person
UERJ,organization
vizinhanca,person
RJ,location
casa,location
calçada,location
residência,location
dona,person
casa,location
senhora,person
Felipe,person
walmizinho,person
quarto,location
Walmir,person
namorada,person
casa,location
namorada,person
Inquilino,person
ilícitos,person
YouTube,organization
Facebook,organization
Whatsapp,organization
pais,person
complexo,location
quintal,location
rua,location
policia,organization
ninguem,person
vendedor,person
RUA,location
Petropolis,location
museu,location
Vizinho,person
escola,organization
barraco,location
família,person
pessoas,person
local,location
Todos,person
região,location
local,location
pessoas,person
rapazes,person
Goa,location
estrada,location
Niterói,location
local,location
campo,location
criminosos,person
rua,location
moradores,person
localidade,location
vizinhança,person
autoridade,person
Traficantes,person
rua,location
esquina,location
moradores,person
vizinho,person
Ruan,person
pessoas,person
casa,location
traficantes,person
moradores,person
animais,person
shopping,location
casa,location
local,location
Familia,person
local,location
local,location
Netinho,person
autoridade,person
escola,organization
alunos,person
escola,organization
pessoas,person
casas,location
quintal,location
casa,location
rapaz,person
casa,location
bandidos,person
médica,person
Búzios,location
acusado,person
casa,location
vítima,person
vitima,person
justiça,organization
próximo,person
senhora,person
indivíduo,person
acusado,person
envolvido,person
homens,person
ruas,location
bairro,location
ruas,location
bandidos,person
ruas,location
rua,location
rua,location
polícia,organization
bandidos,person
marechal,person
Hermes,person
Deodoro,person
bandido,person
wesley,person
foragido,person
local,location
bandido,person
rua,location
comandante,person
bandido,person
bandido,person
Rua,location
traficantes,person
praça,location
campo,location
ilícitos,person
YouTube,organization
Facebook,organization
Indivíduo,person
Av,organization
autoridades,person
menores,person
crianças,person
organizadores,person
batalhão,organization
local,location
quadra,location
escola,organization
rua,location
Tiago,person
rua,location
HOMENS,person
RUA,location
RUA,location
PRAÇA,location
apartamento,location
andar,location
predio,location
avenida,location
grupo,organization
imóvel,location
varanda,location
alguem,person
HOMENS,person
RUAS,location
polícia,organization
HOMEM,person
loja,organization
CARMELO,person
HOMEM,person
rua,location
HOMEM,person
RUA,location
rua,location
padre,person
mamãe,person
pessoas,person
tenda,location
todos,person
Caxias,location
vagabundos,person
Deus,person
Rodrigo,person
Davi,person
polícia,organization
morro,location
meliantes,person
rua,location
casas,location
prefeitura,organization
casas,location
igreja,location
Familiares,person
crianças,person
rua,location
polícia,organization
igreja,location
crianças,person
Traficanetes,person
rua,location
quintal,location
rua,location
calçada,location
RODRIGO,person
MAICON,person
GILBERTO,person
local,location
condomínio,location
Homens,person
local,location
Angra,location
RJ,location
comerciantes,person
angra,location
PMs,person
marginais,person
Batalhão,organization
delegacia,location
MP,organization
Angra,location
GAP,organization
Joelson,person
Bosi,person
Sandro,person
França,person
MP,organization
esposa,person
Bosi,person
GAP,organization
juíza,person
oficial,person
PT,organization
traficantes,person
Mercedes,organization
rua,location
Bandidos,person
região,location
Niterói,location
moradores,person
região,location
Policias,organization
traficantes,person
Apartamentos,location
rua,location
Daniel,person
UPP,organization
rua,location
traficantes,person
menores,person
moradores,person
casa,location
marginais,person
regiões,location
Barra,location
Freguesia,location
Apartamentos,location
policiais,person
UPP,organization
traficantes,person
rua,location
Daniel,person
Facebook,organization
organizadores,person
Facebook,organization
marginais,person
rua,location
Vagabundos,person
rua,location
rua,location
polícia,organization
Vagabundos,person
rua,location
povo,person
rua,location
casas,location
Traficantes,person
local,location
famílias,person
rua,location
vila,location
vila,location
outrem,person
Inquilino,person
YouTube,organization
Facebook,organization
Whatsapp,organization
pessoas,person
Homem,person
ADA,organization
amigos,person
ladrão,person
Indivíduos,person
Central,location
usuários,person
Solicito,person
traficantes,person
cidade,location
região,location
rua,location
local,location
traficantes,person
região,location
traficantes,person
facção,organization
rua,location
Individuo,person
difamador,person
esquina,location
grupo,organization
bairro,location
policiais,person
região,location
todos,person
todos,person
fabrica,organization
residencia,location
pessoa,person
Rafael,person
Ivone,person
pai,person
Paulo,person
Rafael,person
rua,location
pessoas,person
caras,person
casa,location
rua,location
vizinhança,person
rua,location
rua,location
jardim,location
vagabundos,person
rua,location
polícia,organization
irmãos,person
casa,location
traficantes,person
Malvina,person
Caxias,location
mãicom,person
gramado,location
Morro,location
moradores,person
região,location
motoristas,person
Polícia,organization
alguém,person
Morro,location
Copacabana,location
apartamentos,location
José,person
sogro,person
Sr,person
vereador,person
Mantena,location
Serra,person
casa,location
rua,location
residência,location
Sr,person
distrito,location
Limeira,location
vitima,person
hospital,location
Itabirinha,person
líder,person
morador,person
Limeira,location
vitima,person
autor,person
genro,person
autor,person
Limeira,location
família,person
sogro,person
Mantena,location
vereador,person
IML,organization
local,location
rua,location
Prisma,organization
condomínio,location
bairro,location
amigos,person
Deus,person
indivíduo,person
rua,location
casa,location
estrada,location
estação,location
policial,person
dono,person
Homens,person
rua,location
bairro,location
morro,location
Ipase,organization
bandidos,person
moradores,person
local,location
Rondinho,person
pescador,person
autoridades,person
morro,location
casa,location
Liliane,person
morro,location
bar,location
Bandidos,person
casas,location
rua,location
policiais,person
traficantes,person
Traficantes,person
colégio,organization
estação,location
esquina,location
ABRIGO,person
ASSOCIAÇÃO,organization
MORADORES,person
ilícitos,person
YouTube,organization
Facebook,organization
Indivíduo,person
Av,organization
traficante,person
ninguém,person
casa,location
menores,person
ilícitos,person
YouTube,organization
Facebook,organization
Indivíduo,person
Av,organization
traficantes,person
morro,location
rua,location
rua,location
prefeitura,organization
rio,location
moradores,person
casas,location
village,location
morro,location
policial,person
local,location
familiares,person
ninguem,person
bairro,location
bandidos,person
região,location
casa,location
pessoas,person
traficantes,person
localidades,location
Bandidos,person
moradores,person
localidade,location
jovens,person
condomínio,location
soldado,person
milícia,organization
polícia,organization
federal,organization
traficantes,person
homem,person
chefe,person
Fábio,person
wendel,person
seguranças,person
Fábio,person
dono,person
lojas,organization
Leandro,person
prefeitura,organization
prédios,location
casa,location
filhos,person
Traficante,person
facção,organization
ADA,organization
dono,person
comunidade,person
jardim,location
comunidade,person
facção,organization
ADA,organization
bairro,location
morro,location
vila,location
jardim,location
rivais,person
CV,organization
localidades,location
pessoas,person
quadrilha,person
ladões,person
pessoas,person
BRASIL,location
laranjas,person
pessoas,person
comunidade,location
bairro,location
policias,person
traficamtes,person
traficamtes,person
area,location
rua,location
Deus,person
filho,person
rua,location
moradores,person
ilícitos,person
YouTube,organization
Facebook,organization
Indivíduo,person
Av,organization
casa,location
bairro,location
traficantes,person
área,location
local,location
bandidos,person
local,location
área,location
moradores,person
homens,person
rua,location
bairro,location
Unamar,organization
cidade,location
traficante,person
morro,location
José,person
operário,person
praça,location
morro,location
delegacias,organization
praça,location
morro,location
praça,location
domicílio,location
esquinas,location
rua,location
imóveis,location
favela,location
morro,location
rua,location
senador,person
homem,person
TERRA,location
NINGUÉM,person
político,person
moradores,person
bairro,location
Inhaúma,location
ex-candidato,person
Rapaz,person
facebook,organization
rua,location
esquina,location
Bairro,location
rua,location
esquina,location
campo,location
indivíduos,person
cidade,location
Mesquita,location
rua,location
casa,location
bandidos,person
favela,location
bandido,person
rapaz,person
meninos,person
rua,location
rua,location
Monte,location
rua,location
esquina,location
Moradores,person
rua,location
Monte,location
rapaz,person
casa,location
Dono,person
casa,location
Marty,person
Justiça,organization
bairro,location
cidade,location
meliantes,person
moradores,person
local,location
moradores,person
lugar,location
escolas,organization
creche,organization
moradores,person
lugar,location
gente,person
trabalhadora,person
ilícitos,person
YouTube,organization
Facebook,organization
Indivíduo,person
Av,organization
Morro,location
rua,location
padre,person
bairro,location
Comandante,person
terroristas,person
imóvel,location
REGIÃO,location
BROOKLIN,location
praia,location
Pontal,location
bandeirantes,person
jovem,person
quiosque,location
quiosque,location
praia,location
indivíduos,person
criminosos,person
comunidade,location
terreno,location
comunidade,location
Mangueira,location
indivíduos,person
clientes,person
moradores,person
morro,location
comunidades,person
moradores,person
policiais,person
facção,organization
indivíduo,person
WhatsApp,organization
indivíduo,person
rua,location
bairro,location
pessoas,person
Rapaz,person
Rodrigo,person
casa,location
companheiro,person
Roosevelt,person
casa,location
casa,location
senhor,person
pessoas,person
senhor,person
sobrinhas,person
vila,location
jovens,person
crianças,person
Supervia,organization
estação,location
Jacarezinho,location
rua,location
Camões,person
bairro,location
casa,location
traficantes,person
usuarios,person
local,location
MADRUGADA,person
Traficante,person
NETO,person
NETINHO,person
policia,organization
envolvidas,person
LENIR,person
ROBERTA,person
PMERJ,organization
individuos,person
MADRUGADA,person
PCERJ,organization
MADRUGADA,person
NETO,person
WAGUINHO,person
RUSSO,person
JEAN,person
CHICO,person
FELIPE,person
LENIR,person
ROBERTA,person
favela,location
Barreira,location
Ciclovia,location
NETO,person
WAGUINHO,person
LENIR,person
FELIPE,person
CHICO,person
RUSSO,person
JEAN,person
casa,location
quadrilha,person
rua,location
rua,location
hospital,location
homen,person
outros,person
colégio,organization
professor,person
rua,location
funcionários,person
professores,person
alunos,person
alunos,person
colégio,organization
Ruan,person
alunos,person
colégio,organization
morador,person
rua,location
Cristiane,person
usuária,person
homens,person
residência,location
senhoria,person
Alan,person
rapaz,person
local,location
população,person
moradores,person
comunidades,person
fabrica,organization
Jacarepaguá,location
rua,location
vizinhos,person
casa,location
pessoas,person
pessoa,person
pessoas,person
local,location
pessoas,person
gente,person
rua,location
rua,location
canal,organization
pessoa,person
Raphael,person
donos,person
casa,location
Paulo,person
Ivone,person
Ivone,person
Paulo,person
proprietários,person
casa,location
esposa,person
filha,person
casa,location
Raphael,person
homem,person
Raphael,person
familia,person
casa,location
Paulo,person
Ivone,person
rua,location
comunidade,location
morador,person
traficante,person
aeronáutica,organization
quartel,location
bairros,location
rua,location
Jacarepaguá,location
policiais,person
UPPs,organization
contribuinte,person
alguém,person
trabalhador,person
Bandindos,person
bandidos,person
morro,location
morro,location
bandidos,person
marechal,person
rua,location
comandante,person
batalhão,organization
praça,location
ruas,location
bairro,location
rua,location
vila,location
policia,organization
vila,location
criminosos,person
rua,location
rua,location
rua,location
Bandidos,person
favela,location
Deodoro,person
marechal,person
rua,location
barraca,location
Abu,person
Deodoro,person
Bandidos,person
Deus,person
polícia,organization
Bandidos,person
rua,location
pessoas,person
viciados,person
moreno,person
terreno,location
residência,location
ninguém,person
filhote,person
vizinhos,person
terreno,location
dono,person
bichinhos,person
terreno,location
casa,location
Facebook,organization
morro,location
rua,location
praça,location
vila,location
calçadas,location
vila,location
rua,location
bairro,location
Pantanal,location
ladrão,person
mercado,organization
morro,location
general,person
Artigas,person
Homens,person
Usuário,person
casa,location
rua,location
rua,location
loja,organization
jovem,person
rua,location
clientes,person
dono,person
usuários,person
bandidos,person
rua,location
Douglas,person
travestir,person
Belford,location
crianças,person
bairro,location
rua,location
esquina,location
rua,location
grupo,organization
travestis,person
pedestres,person
Lapa,location
Belford,location
menores,person
travesti,person
garotos,person
residência,location
localidade,location
jovem,person
bairro,location
policial,person
bairro,location
moradores,person
bairro,location
parque,location
jardim,location
autoridades,person
moradores,person
ministério,organization
pessoas,person
miliciano,person
policial,person
bandidos,person
rua,location
traficantes,person
moradores,person
morro,location
morro,location
Prainha,location
interior,location
LOCALIDADE,location
LOCAL,location
NETINHO,person
NETO,person
CASA,location
USUARIOS,person
CASA,location
NETO,person
CHICO,person
RUSSO,person
RUA,location
RUA,location
CASA,location
FELIPE,person
JOVENS,person
MENORES,person
CASA,location
MENINAS,person
CASA,location
RUA,location
LOCAL,location
CASA,location
CASA,location
RUA,location
SOCIEDADE,organization
LOCAL,location
residente,person
Bairro,location
Local,location
morro,location
meliantes,person
morador,person
Local,location
traficantes,person
motorista,person
empresas,organization
galpão,location
chamador,person
Rômulo,person
funcionário,person
estacionamento,location
traficantes,person
Extra,organization
motorista,person
alguém,person
local,location
gerente,person
transportadora,organization
dono,person
restaurante,location
AmBev,organization
rio,location
senhor,person
Jair,person
senhor,person
Paulo,person
senhor,person
Jair,person
senhor,person
Jair,person
senhor,person
Paulo,person
envolvidos,person
AmBev,organization
restaurante,location
AmBev,organization
Piraí,location
Macacu,location
Anderson,person
bairro,location
HS,organization
morador,person
bairro,location
parceiro,person
bandidos,person
rua,location
rua,location
Traficantes,person
kelson,organization
casas,location
Bando,person
localidade,location
Centro,location
moradora,person
rua,location
Centro,location
mulher,person
vagabundos,person
bairro,location
homem,person
moradores,person
senhoria,person
Alvina,person
Milícia,organization
Anchieta,location
moradores,person
rua,location
Anchieta,location
policiais,person
moradores,person
bandidos,person
localidade,location
Miguel,person
homens,person
gente,person
meliantes,person
polícia,organization
população,person
vizinhos,person
Individuo,person
indivíduo,person
Gmail,organization
morro,location
domicilio,location
alguém,person
vítima,person
suspeito,person
equipe,person
moradores,person
funcionários,person
indivíduo,person
Traficantes,person
local,location
traficante,person
rua,location
traficante,person
comparsa,person
local,location
Populaçao,person
refém,person
Traficantes,person
ruas,location
bairro,location
local,location
esquina,location
ruas,location
lavradores,person
bairro,location
jardim,location
sítio,location
morro,location
policiais,person
Indivíduo,person
gmail,organization
Morro,location
domicilio,location
difamador,person
